user_id,item_id,timestamp,is_click,is_purchase,gender,age,city,device_type,user_level,item_cate,price,brand,dayofweek,hour,holiday,weather,temp_c,trending_kw,prev_clicks,shop_id
100596,909208,2024-06-23 00:23:00,0,0,U,18,成都,mobile,5,美妆个护,363.24,苹果,6,0,0,阴,27.2,618大促,0,10448
100968,908689,2024-06-16 18:05:00,0,0,F,33,成都,pc,5,食品饮料,428.79,华为,6,18,0,多云,31.3,,1,10935
100269,902271,2024-06-13 19:32:00,0,0,F,31,成都,pad,2,汽车用品,180.62,小米,3,19,0,雨,21.9,,2,10257
100576,901162,2024-06-04 03:20:00,0,1,F,34,成都,pc,2,美妆个护,140.61,优衣库,1,3,0,晴,31.1,返校季,2,10799
100145,906321,2024-06-15 19:57:00,0,0,M,35,杭州,mobile,4,家居,520.47,华为,5,19,0,晴,27.8,,1,10703
100925,909836,2024-06-15 02:21:00,0,0,F,39,北京,mobile,4,美妆个护,220.51,苹果,5,2,0,多云,15.1,,3,10462
100942,905208,2024-06-14 09:12:00,0,0,M,26,南京,pc,3,数码配件,248.92,李宁,4,9,0,多云,34.4,618大促,3,10106
100817,906159,2024-06-16 01:29:00,0,0,U,39,广州,mobile,0,服饰鞋包,301.35,优衣库,6,1,1,多云,16.4,,4,10731
100664,903153,2024-06-29 08:46:00,0,0,F,37,北京,pad,5,书籍,237.03,苹果,5,8,0,多云,21.2,,2,10030
100772,905674,2024-06-25 11:02:00,0,0,U,36,广州,pad,5,汽车用品,394.02,安踏,1,11,0,晴,34.2,黑五,2,10898
100131,906670,2024-06-05 07:59:00,0,0,M,40,北京,pc,1,美妆个护,466.61,格力,2,7,0,晴,32.9,限时折扣,3,10376
100910,907641,2024-06-04 05:11:00,0,0,F,45,西安,mobile,5,食品饮料,357.68,李宁,1,5,0,雨,25.8,,0,10158
100063,900294,2024-06-24 04:16:00,0,0,M,47,成都,mobile,1,服饰鞋包,120.35,格力,0,4,0,阴,24.1,返校季,2,10636
100888,906155,2024-06-22 03:45:00,0,0,M,21,广州,pc,5,食品饮料,34.04,小米,5,3,0,阴,34.4,新品热卖,1,10791
100388,906672,2024-06-18 02:31:00,1,0,F,24,深圳,mobile,4,运动,428.97,李宁,1,2,0,阴,21.0,,0,10933
100586,909576,2024-06-20 04:44:00,1,0,U,27,西安,pad,3,服饰鞋包,39.76,小米,3,4,0,阴,28.9,,1,10099
100187,900931,2024-06-20 00:15:00,1,0,F,39,杭州,pad,3,运动,379.75,海尔,3,0,1,雨,23.0,新品热卖,3,10359
100136,903550,2024-06-01 23:58:00,0,0,F,22,苏州,mobile,0,数码配件,204.63,美的,5,23,0,晴,33.7,黑五,3,10593
100822,909115,2024-06-25 23:29:00,0,0,F,20,成都,pc,4,服饰鞋包,389.91,李宁,1,23,0,阴,30.8,,2,10030
100790,905988,2024-06-29 08:59:00,0,0,F,29,北京,mobile,1,家居,553.91,联想,5,8,0,晴,27.1,,2,10629
100688,907757,2024-06-09 15:00:00,1,0,M,31,深圳,pc,4,运动,377.55,联想,6,15,0,多云,26.6,618大促,3,10983
100299,908942,2024-06-14 20:59:00,0,0,U,44,苏州,pad,3,数码配件,186.55,苹果,4,20,0,雨,24.0,限时折扣,3,10289
100605,900091,2024-06-19 22:05:00,0,0,M,27,深圳,pad,1,数码配件,287.69,李宁,2,22,0,雨,28.7,,5,10072
100787,903357,2024-06-20 23:23:00,0,0,U,20,重庆,mobile,2,家居,206.67,安踏,3,23,0,晴,23.7,新品热卖,0,10508
100189,908779,2024-06-23 10:47:00,0,0,F,33,上海,pad,5,家居,441.71,李宁,6,10,0,阴,18.9,618大促,7,10756
100004,909364,2024-06-06 23:34:00,0,0,M,46,苏州,pc,0,家用电器,376.12,美的,3,23,0,雨,29.4,限时折扣,2,10868
100900,907725,2024-06-24 07:43:00,0,0,M,43,杭州,pad,0,食品饮料,321.38,联想,0,7,0,多云,31.4,,2,10891
100114,905362,2024-06-08 20:56:00,1,0,M,33,深圳,pad,4,书籍,194.64,李宁,5,20,0,阴,28.8,黑五,1,10676
100128,908921,2024-06-27 18:08:00,0,0,U,36,成都,pc,2,食品饮料,355.69,优衣库,3,18,1,多云,25.1,黑五,3,10880
100904,909373,2024-06-12 02:23:00,0,0,M,33,成都,pad,1,家用电器,414.16,苹果,2,2,0,阴,33.4,,2,10446
100914,909921,2024-06-13 09:40:00,1,0,M,36,上海,mobile,2,服饰鞋包,393.22,苹果,3,9,0,多云,31.8,,2,10074
100827,907675,2024-06-24 17:40:00,0,0,U,39,杭州,mobile,4,家用电器,328.11,海尔,0,17,0,阴,33.4,新品热卖,2,10449
100519,902179,2024-06-15 16:46:00,1,0,U,24,西安,pad,5,食品饮料,99.14,华为,5,16,1,晴,27.5,618大促,2,10161
100843,909073,2024-06-12 21:27:00,0,0,F,32,北京,mobile,0,食品饮料,122.74,海尔,2,21,0,多云,29.2,新品热卖,5,10550
100673,904383,2024-06-11 04:48:00,1,0,U,44,西安,pad,2,美妆个护,384.91,华为,1,4,0,晴,36.8,,1,10732
100131,900411,2024-06-24 18:51:00,0,0,U,25,深圳,pc,0,食品饮料,560.77,联想,0,18,0,多云,26.9,,2,10176
100106,901199,2024-06-15 15:19:00,0,0,M,23,广州,mobile,3,数码配件,393.04,李宁,5,15,0,雨,31.6,,1,10735
